"Reference","Quantity","Value","Digi-Key Part #"
"C1, C5, C9, C10, C14, C17, ","6","100uF","P15436CT-ND"
"C2, C4, C16, ","3",".1uF","311-1344-1-ND"
"C3, C6, C11, ","3","330pF","1276-1073-1-ND"
"C7, ","1","10uF","490-18214-1-ND"
"C8, C12, C13, C15, ","4","1000uF","10-EEH-ZS1E102UPCT-ND"
"D1, D2, D6, ","3","1N5819","1N5819HW-FDICT-ND"
"GR1, ","1","small_logo",""
"GR2, ","1","Logo_Open_Hardware_Small",""
"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, ","12","Conn_02x08_Odd_Even","S9171-ND"
"J13, J14, J17, J18, ","4","Conn_01x02","SAM10844-ND"
"L1, L2, L6, ","3","100uH","541-IFDC5050HZER101MCT-ND"
"L3, L4, L5, ","3","1.8uH","445-3181-1-ND"
"LED1, ","1","Red SMT LED","160-1436-1-ND"
"LED2, ","1","Yellow SMT LED","160-1437-1-ND"
"LED3, LED4, ","2","Blue SMT LED","160-1837-1-ND"
"R1, R3, R13, ","3","10K","311-10.0KHRCT-ND"
"R2, ","1","4.7K","311-4.70KHRCT-ND"
"R4, R8, R11, ","3","1K","311-1.00KHRCT-ND"
"R5, R12, ","2","8.66K","311-8.66KHRCT-ND"
"R6, R7, R10, ","3",".33","273-KDV06FR330ETCT-ND"
"R9, ","1","3K","311-3.00KHRCT-ND"
"TP1, ","1","TestPoint","36-5006-ND"
"TP2, TP3, TP4, TP5, ","4","TestPoint",""
"U1, U2, U3, ","3","MC34063AD","MC34063ADR2GOSCT-ND"
